DATA_ACCETTAZIONE;SEDE;TIPO_PS;NUMERO_ACCESSI
07/01/2021;Distretto Magenta;MEDICINA MAGENTA;47
08/01/2021;Distretto Cuggiono;SALA CUGGIONO;23
08/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;7
08/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;8
08/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;5
08/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;8
08/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;26
08/01/2021;Distretto di Legnano;MEDICINA LEGNANO;41
08/01/2021;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
08/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
08/01/2021;Distretto di Legnano;OCULISTICA;4
08/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;8
08/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;29
08/01/2021;Distretto Magenta;MEDICINA MAGENTA;50
08/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;7
08/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;6
08/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);2
08/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;8
08/01/2021;Distretto Magenta;PEDIATRIA COVID ACCOMPAGNATORI;1
08/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;18
08/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;10
08/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;21
09/01/2021;Distretto Cuggiono;SALA CUGGIONO;16
09/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;7
09/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;8
09/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;12
09/01/2021;Distretto di Legnano;MEDICINA LEGNANO;37
09/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;21
09/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
09/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;7
09/01/2021;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
09/01/2021;Distretto di Legnano;OCULISTICA;1
09/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;6
09/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;7
09/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;9
09/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;8
09/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;3
09/01/2021;Distretto Magenta;MEDICINA MAGENTA;34
09/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;19
09/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;3
09/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);1
09/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;22
09/01/2021;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
10/01/2021;Distretto Cuggiono;SALA CUGGIONO;6
10/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;2
10/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;4
10/01/2021;Distretto di Legnano;MEDICINA LEGNANO;34
10/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;8
10/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;11
10/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;10
10/01/2021;Distretto di Legnano;OBI PEDIATRICA LEGNANO;2
10/01/2021;Distretto di Legnano;OCULISTICA;3
10/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
10/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;15
10/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;9
10/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;10
10/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;2
10/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;13
10/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;7
10/01/2021;Distretto Magenta;MEDICINA MAGENTA;24
10/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;7
10/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;20
11/01/2021;Distretto Cuggiono;SALA CUGGIONO;27
11/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;20
11/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;1
11/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;2
11/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;9
11/01/2021;Distretto di Legnano;OCULISTICA;3
11/01/2021;Distretto di Legnano;MEDICINA LEGNANO;35
11/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;27
11/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;30
11/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;5
11/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;13
11/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;6
11/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;8
11/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;2
11/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;6
11/01/2021;Distretto Magenta;MEDICINA MAGENTA;29
11/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;28
11/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;20
12/01/2021;Distretto Cuggiono;SALA CUGGIONO;16
12/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;6
12/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;13
12/01/2021;Distretto di Legnano;OCULISTICA;1
12/01/2021;Distretto di Legnano;MEDICINA LEGNANO;42
12/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;32
12/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
12/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;20
12/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;8
12/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;13
12/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;7
12/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;28
12/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;6
12/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;6
12/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);2
12/01/2021;Distretto Magenta;MEDICINA MAGENTA;30
12/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;7
12/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;8
12/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;17
13/01/2021;Distretto Cuggiono;SALA CUGGIONO;15
13/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;6
13/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;12
13/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;23
13/01/2021;Distretto di Legnano;MEDICINA LEGNANO;35
13/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;12
13/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;2
13/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;8
13/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;18
13/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;4
13/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;27
13/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;15
13/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;27
13/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;13
13/01/2021;Distretto Magenta;MEDICINA MAGENTA;33
13/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;8
13/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;6
13/01/2021;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
14/01/2021;Distretto Cuggiono;SALA CUGGIONO;18
14/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;22
14/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;11
14/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;11
14/01/2021;Distretto di Legnano;MEDICINA LEGNANO;32
14/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;17
14/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;3
14/01/2021;Distretto di Legnano;OCULISTICA;1
14/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;3
14/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;8
14/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;19
